gbifID,eventDate,verbatimLocality,decimalLatitude,decimalLongitude,plant_id
891105521,2012-09-15,"109 S Ingram St, Alexandria, Virginia, US",38.8106071,-77.1075421167,3
4863857754,2024-05-09,"Eisenhower Ave, Alexandria, VA, US",38.8008706877,-77.0641328116,2
4863788241,2024-05-08,"Holland Ln, Alexandria, VA, US",38.8014479494,-77.059933981,2
4863689628,2024-05-13,"Mark Center Dr, Alexandria, VA, US",38.8310216895,-77.117495689,1
4863620320,2024-05-09,"Eisenhower Ave, Alexandria, VA, US",38.8004380139,-77.0632523765,2
4863547068,2024-05-09,"Alexandria African American Heritage Park, Alexandria, VA, US",38.8005779917,-77.060311921,1
4863544633,2024-05-09,"Port St, Alexandria, VA, US",38.800550038,-77.0686188062,1
4863368347,2024-05-08,"Eisenhower Ave, Alexandria, VA, US",38.8006631099,-77.067918582,2
4855286937,2024-04-28,"Richmond Hwy, Alexandria, VA, US",38.8396818478,-77.0563326431,2
4855124212,2024-05-03,"Huntley Meadows Park, Alexandria, VA, US",38.7657654174,-77.1196711628,2
4855050386,2024-04-27,"Huntley Meadows Park, Alexandria, VA, US",38.7565783333,-77.0988528333,2
4852680892,2023-07-16,"W Braddock Rd, Alexandria, VA, US",38.8398883333,-77.1097028333,3
4852678561,2023-09-02,"Somervelle St, Alexandria, VA, US",38.8060283333,-77.1171028333,1
4852149348,2022-07-17,"Seminary Hill, Alexandria, VA, USA",38.80544506,-77.10709239,1
4846791741,2022-08-13,"Harrison Ln, Alexandria, VA, US",38.7603916667,-77.0958166667,1
4846771742,2022-08-17,"Ben Brenman Park, Alexandria, VA, US",38.8081694214,-77.1120696849,1
4599796897,2023-05-27,Alexandria,38.7467193604,-77.0763778687,1
4597148157,2023-07-04,"Roanoke Dr, Alexandria, VA, US",38.7692633333,-77.0703361667,1
4597139198,2023-06-27,"Fort Ward Park, Alexandria, VA, US",38.829573216,-77.100028731,1
4596826396,2023-09-27,"Gilbert S Mccutcheon Park, Alexandria, VA, US",38.7543266408,-77.0526700627,1
4596802208,2023-07-08,"Fleming St, Alexandria, VA, US",38.7747583333,-77.0760195,1
4596802187,2023-07-04,"White Oaks Park, Alexandria, VA, US",38.7665216667,-77.0696945,1
4596796272,2023-07-08,"Schooley Dr, Alexandria, VA, US",38.76978,-77.0755611667,1
4596789184,2023-07-08,"Quander Rd, Alexandria, VA, US",38.7748033333,-77.0755528333,1
4596789158,2023-07-04,"White Oaks Park, Alexandria, VA, US",38.764195,-77.0699471667,1
4596771233,2023-07-04,"Little Hunting Park Club, Alexandria, VA, US",38.7676383333,-77.07145,1
4596745253,2023-07-04,"Kenyon Dr, Alexandria, VA, US",38.770895,-77.0719083333,1
4596739288,2023-08-21,"Potomac Ave, Alexandria, VA, US",38.7769080839,-77.0562509727,1
4535874674,2021-11-05,"Belle Haven Park, Alexandria, VA, US",38.77878,-77.0506445,1
4535869613,2022-08-11,"Alexandria, VA 22305, USA",38.8415,-77.0580016667,1
4535802553,2022-04-24,"Telegraph Rd, Alexandria, VA, US",38.7493462069,-77.1402449348,1
4535787384,2020-06-26,"Alexandria, VA, US",38.7737609307,-77.050272245,1
4535773348,2019-08-02,"Eisenhower Ave, Alexandria, VA, US",38.7990450695,-77.0775985704,1
4535609619,2022-07-10,"Alexandria, VA 22305, USA",38.8394252,-77.0561276,1
4535604934,2023-08-10,"Potomac Yard, Alexandria, VA, USA",38.832,-77.0459444444,1
4535597913,2023-09-12,"Cedar St, Alexandria, VA, US",38.809205521,-77.0616736957,1
4535585411,2020-08-21,"Four Mile Run Park, Alexandria, VA, US",38.84156333,-77.06050833,1
